correspondent_verbatim	files	nearest_authority_id	nearest_authority_name	similarity	likely_alias_of_existing
M Desai	1	morarji-desai	morarji desai	0.70	review
Maharaja Sriraj	1	maharana-pratap	maharana pratap	0.67	review
Yaswant Kumar Choudhary	1			0.00	no
Ram Avatar Prasad Varua	1			0.00	no
Rajaji To The National Executive Meeting	1			0.00	no
Y Gadilingana Goud	1			0.00	no
Hanumantha Rao	1	ma-venkata-rao	ma venkata rao	0.64	review
K D Merchant	1	kd-valicha	k d valicha	0.61	review
Merchants Association	1			0.00	no
Durga Joshi	1	sharad-joshi	sharad joshi	0.64	review
KS Srinivasan	1	ma-sreenivasan	m a sreenivasan	0.74	review
Sharayu Daftary	1	sharad-pawar	sharad pawar	0.67	review
Arvind Parakh	1	arvind-lalbhai	arvind lalbhai	0.67	review
Sharayu A Daftary	1	sharad-pawar	sharad pawar	0.62	review
Shahajanand Singh	1	anand-sinha	anand sinha	0.71	review
P	1	jayaprakash-narayan	jai prakash narayan	0.67	review
A D Rawal	1	ma-rangoonwala	ma rangoonwala	0.61	review
A Duraisamy	1			0.00	no
PC Mohapatra	1			0.00	no
L M Singhvi	1	s-l-n-sinha	s l n sinha	0.64	review
MD Joseph	1			0.00	no
Bhagwan Das Sharma	1			0.00	no
Mohan lal jadav	1			0.00	no
Thakore Saheb	1	thakorelal-desai	thakorelal desai	0.69	review
JG Tiwari	1			0.00	no
Man Singh	1	manmohan-singh	dr manmohan singh	0.78	review
VGK Unnitham	1	k-santhanam	k santhanam	0.61	review
James Cherian	1	james-s-raj	james s raj	0.67	review
Sridharmurthy	1			0.00	no
Adil Billimorie	1			0.00	no
Minoo Tata	1	mithan-tata-lam	mithan lam	0.76	review
Viraj Radio	1			0.00	no
R kalamegham	1	a-p-j-abdul-kalam	a p j abdul kalam	0.70	review
RD Patel	1	sardar-patel	patel	0.80	review
SS Ahuja	1	b-s-mahajan	b s mahajan	0.63	review
Nautamlal	1			0.00	no
Kusum Kumar Joshi	1	sharad-joshi	sharad joshi	0.62	review
HM Patel	1	h-m-patel	h m patel	0.94	yes
Om Prakash Pathik	1	om-prakash-kahol	om prakash kahol	0.79	review
Jivrajbhai	1	c-rajagopalachari	c rajagopalachari	0.62	review
Ramjibhai Talsania	1	ramabai-ranade	ramabai ranade	0.62	review
SP Shah	1	s-p-sathe	s p sathe	0.67	review
Harjivanbhai Sheth	1	tarabai-shinde	tarabai shinde	0.62	review
Jairam	1			0.00	no
Rasiklalbhai	1	arvind-lalbhai	arvind lalbhai	0.69	review
J Ramabardhan	1	ramabai-ranade	ramabai ranade	0.67	review
Mathu Mehta	1	f-a-mehta	f a mehta	0.70	review
S GopalKrishnan	1	sarvepalli-radhakrishnan	professor s radhakrishnan	0.73	review
A Seshadri	1	c-s-seshadri	c s seshadri	0.82	review
Fali Wadia	1			0.00	no
Sumatilal Shah	1			0.00	no
Mody	1	mh-mody	mh mody	0.73	review
Mulubhai Nautamalal Mehta	1			0.00	no
bhailal	1	m-c-chagla	chagla	0.62	review
Kannamwar	1	kiran-nanda	kiran nanda	0.60	review
JN from Urli Kanchan	1			0.00	no
Ahmed Kassam Koonda	1			0.00	no
Deendayal Upadhyaya	1			0.00	no
Kapur Singhjee	1	charan-singh	charan singh	0.62	review
Harisn Chinai	1	sn-haji	sn haji	0.50	review
SK Kooka	1			0.00	no
