correspondent_verbatim	files	nearest_authority_id	nearest_authority_name	similarity	likely_alias_of_existing
Rajmata Gayatri Devi	2			0.00	no
G M Gopal Krishna	2	gopal-krishna-gokhale	gokhale	0.68	review
T Sadasivan	2			0.00	no
Jagat Kishore Parsad Narain Singh	2			0.00	no
K N Singh	2	s-l-n-sinha	s l n sinha	0.70	review
Atal Bihari Bajpayee	2	atal-bihari-vajpayee	a b vajpayee	0.95	yes
C Rai	2	m-r-pai	m r pai	0.67	review
M L Dahanukar & Co Pvt Ltd	2			0.00	no
K Ganesan	2			0.00	no
Rajiv Patel	2	dr-ig-patel	dr ig patel	0.73	review
P B Meckoni	2	v-p-menon	v p menon	0.60	review
Prospective Parliamentary Candidates no-9	2			0.00	no
Mohan Singh	2	manmohan-singh	dr manmohan singh	0.88	review
K S Srinivasan	2	ma-sreenivasan	m a sreenivasan	0.76	review
Rajiv Patil	2	rajiv-gandhi	rajiv gandhi	0.70	review
Fazel Fazalbhoy	2			0.00	no
Dharamsey M Khatau	2	dharamsey-khatau	dharamsey khatau	0.94	yes
P S Koppikar	2			0.00	no
Ratibhai Ukhaabhai Patel	2	sardar-patel	patel	0.63	review
T Sadasivas	2			0.00	no
Devashyam	2	dinesh-vyas	dinesh vyas	0.50	review
P L Roy	2	m-n-roy	m n roy	0.71	review
JJ Singh	2	jj-irani	jj irani	0.62	review
Jinraja Hegda	2			0.00	no
J R Manjari	2	minoo-masani	m r masani mp	0.67	review
Jinarjhegde	2			0.00	no
T A koshy	2			0.00	no
Jayantbhai bhatt`	2			0.00	no
K Sundaram	2	kv-narain	kv narain	0.63	review
MPs Gujarat MALs and Members Of Gujarat State Executive	2			0.00	no
R M Totala	2	r-k-talwar	r k talwar	0.70	review
Ashok Padbidri	2	ashok-desai	ashok desai	0.64	review
Manumantra Rao	2	ma-venkata-rao	ma venkata rao	0.71	review
R K A NARAYAN	2	c-rangarajan	dr c rangarajan	0.71	review
B Satyanarayana	2	h-narayan-rao	h narayan rao	0.64	review
Rati Cooper	2	r-c-cooper	dr r c cooper	0.67	review
GK Sundaram	2	kv-narain	kv narain	0.60	review
Sumatilal P Shah	2			0.00	no
Suresh Singh	1			0.00	no
Ayesh	1			0.00	no
Bhailal	1	m-c-chagla	chagla	0.62	review
Shanu pratap Singh	1	bhanu-pratap-singh	bhanu pratap singh	0.94	yes
Masani	1	minoo-masani	m r masani mp	0.80	review
N J Dhebar	1	n-dandekar	n dandekar	0.60	review
A Latif	1			0.00	no
Arvind Mafatlal	1	arvind-lalbhai	arvind lalbhai	0.69	review
Dabeh Sawhny	1			0.00	no
I T Mirchandani	1			0.00	no
KK Savariya	1	k-d-malaviya	k d malaviya	0.61	review
R Hawkins	1			0.00	no
Yaskov Morris	1			0.00	no
Tony	1			0.00	no
Tajnarian yadav	1			0.00	no
S Sitaraman	1	k-jayaraman	k jayaraman	0.64	review
B Satyanaryan	1	jayaprakash-narayan	jai prakash narayan	0.43	review
J B Kripalani	1	j-b-kripalani	acharya kripalani	0.67	review
the Enforcement Officer	1			0.00	no
M R Masam	1	minoo-masani	m r masani mp	0.84	review
SriKumar	1			0.00	no
Accounts Officer Revenue Department	1			0.00	no
Mathani	1	ma-pathan	ma pathan	0.75	review
Shaha Janand Singh	1	anand-sinha	anand sinha	0.69	review
Abhay Anand	1	ramabai-ranade	ramabai ranade	0.64	review
Nabakrusha Choudhury	1			0.00	no
Badal Gangopadhya	1	bal-gangadhar-tilak	bal gangadhar tilak	0.67	review
KC Pant	1	s-k-patil	s k patil	0.62	review
M Savino	1			0.00	no
PK Patnaik	1	s-k-patil	s k patil	0.63	review
The Speaker-Lok Sabha	1			0.00	no
Madhu Limaye	1	thomas-babington-macaulay	lord macaulay	0.60	review
Nagen Bakshi	1			0.00	no
Ajoy Mukherjee	1			0.00	no
Piloo H Mody	1	piloo-mody	piloo mody	0.91	yes
SV Raju Jan-1985	1	s-v-raju	mr s v raju	0.78	review
Omkar Nath Tiku	1			0.00	no
K S Alva	1	m-c-setalvad	m c setalvad	0.63	review
GK Sundram	1	ak-chandra	ak chandra	0.60	review
CN Sudhan	1	c-s-deshpande	c s deshpande	0.64	review
IS Bhargava	1			0.00	no
Gopal Krishna	1	gopal-krishna-gokhale	gokhale	0.76	review
P D Patwari	1	sharad-pawar	sharad pawar	0.61	review
Comrades	1			0.00	no
Hindustan Construction Co Ltd	1			0.00	no
H N Hota	1	r-n-jha	r n jha	0.67	review
Kaikhusru	1			0.00	no
Chiranjilal Loyalka	1			0.00	no
G Rajagopalachari	1	c-rajagopalachari	c rajagopalachari	0.94	yes
B N Chaturvedi	1			0.00	no
Purshotam Das	1	gurcharan-das	gurcharan das	0.62	review
A A Jasdenvala	1	ma-sreenivasan	m a sreenivasan	0.41	review
Jal J Gazdar	1			0.00	no
F J Gazdar	1	r-k-hazari	r k hazari	0.60	review
Chimanlal B Parikh	1	indumati-parikh	indumati parikh	0.61	review
Bahadur Singh	1	charan-singh	charan singh	0.72	review
R Agni Bhoj	1			0.00	no
Kalayan Singh	1	charan-singh	charan singh	0.72	review
Ranbir Singh Jain	1	charan-singh	charan singh	0.62	review
A P	1			0.00	no
K N Munshi	1	k-m-munshi	k m munshi	0.90	yes
J F Jehangir	1			0.00	no
Major S R Bamji	1	s-v-raju	mr s v raju	0.62	review
Ruttonchund Master	1	richard-plaster	richard plaster	0.61	review
Hutheesing	1			0.00	no
B B Kapasi	1	g-v-kapadia	g v kapadia	0.67	review
B N Anantani	1	a-ranganathan	a ranganathan	0.64	review
D N D Khandalavala	1			0.00	no
Isaac Mathai	1	sujata-manohar	sujata manohar	0.62	review
Ramchandra M Barot	1	raja-ram-mohan-roy	raja ram mohan roy	0.60	review
T Sadasivam	1	m-narasimhan	m narasimham	0.61	review
BB Kapashi	1			0.00	no
YD Tyagi	1			0.00	no
HH Maharawal	1			0.00	no
Rasiklal Jani	1			0.00	no
RV Murthy	1			0.00	no
TM Mathew	1	t-mathew	t mathew	0.94	yes
NH Mapara	1			0.00	no
GV Pant	1	vh-pandya	vh pandya	0.62	review
Lal bahadur Shstri	1			0.00	no
N Raghavan Pillai	1			0.00	no
