2026-08-20T07:45:11	1314-Letter_from_Mr_Minoo_Masani_14-11-1967	metadata.a	ok cred=0.29
2026-08-20T07:45:13	1318-Deficit_Financing_16-11-1967	metadata.a	ok cred=0.23
2026-08-20T07:45:15	1308-Letter_to_Mr_Minoo_Masani_21-11-1967	summary	ok cred=0.27
2026-08-20T07:45:21	1295-Indias_Naval_Expansion_Programme_13-03-1968	metadata.a	ok cred=0.33
2026-08-20T07:45:29	1310-Letter_from_Mr_Minoo_Masani_20-11-1967	summary	ok cred=0.27
2026-08-20T07:45:36	1320-Letter_to_Mr_Minoo_Masani_24-07-1967	metadata.a	ok cred=0.29
2026-08-20T07:45:37	1318-Deficit_Financing_16-11-1967	summary	ok cred=0.27
2026-08-20T07:45:38	1313-Letter_to_Morarji_Desai_10-11-1967	summary	ok cred=0.29
2026-08-20T07:45:39	1321-Letter_from_Morarji_Desai_24-07-1967	metadata.a	ok cred=0.3
2026-08-20T07:45:40	1314-Letter_from_Mr_Minoo_Masani_14-11-1967	summary	ok cred=0.28
2026-08-20T07:45:49	132-The_Hidden_Telephone_Tax-Hindustan_Times_01-07-1967	metadata.a	ok cred=0.3
2026-08-20T07:45:50	1322-Letter_from_Mr_Minoo_Masani_19-07-1967	metadata.a	ok cred=0.28
2026-08-20T07:45:59	1323-Letter_to_Prime_Minister_05-06-1967	metadata.a	ok cred=0.28
2026-08-20T07:45:59	1327-Letter_from_Mr_Minoo_Masani_22-05-1967	metadata.a	ok cred=0.23
2026-08-20T07:46:00	1295-Indias_Naval_Expansion_Programme_13-03-1968	summary	ok cred=0.32
2026-08-20T07:46:03	1320-Letter_to_Mr_Minoo_Masani_24-07-1967	summary	ok cred=0.26
2026-08-20T07:46:07	1322-Letter_from_Mr_Minoo_Masani_19-07-1967	summary	ok cred=0.23
2026-08-20T07:46:09	1321-Letter_from_Morarji_Desai_24-07-1967	summary	ok cred=0.31
2026-08-20T07:46:11	1326-Letter_to_Mr_Minoo_Masani_26-05-1967	metadata.a	ok cred=0.29
2026-08-20T07:46:17	132-The_Hidden_Telephone_Tax-Hindustan_Times_01-07-1967	summary	ok cred=0.28
2026-08-20T07:46:23	1323-Letter_to_Prime_Minister_05-06-1967	summary	ok cred=0.24
2026-08-20T07:46:23	1328-Letter_from_Mr_Minoo_Masani_28-04-1967	metadata.a	ok cred=0.23
2026-08-20T07:46:26	1327-Letter_from_Mr_Minoo_Masani_22-05-1967	summary	ok cred=0.29
2026-08-20T07:46:29	1329-Letter_to_Mr_Minoo_Masani_25-04-1967	metadata.a	ok cred=0.29
2026-08-20T07:46:30	1331-Letter_to_Mr_Minoo_Masani_21-04-1967	metadata.a	ok cred=0.28
2026-08-20T07:46:31	1330-Letter_to_Piloo_H_Mody_26-04-1967	metadata.a	ok cred=0.28
2026-08-20T07:46:37	1326-Letter_to_Mr_Minoo_Masani_26-05-1967	summary	ok cred=0.28
2026-08-20T07:46:39	1332-Letter_to_Mr_Minoo_Masani_18-04-1967	metadata.a	ok cred=0.27
2026-08-20T07:46:45	1336-Letter_from_Mr_Minoo_Masani_07-04-1967	metadata.a	ok cred=0.27
2026-08-20T07:46:49	1328-Letter_from_Mr_Minoo_Masani_28-04-1967	summary	ok cred=0.29
2026-08-20T07:46:53	1331-Letter_to_Mr_Minoo_Masani_21-04-1967	summary	ok cred=0.28
2026-08-20T07:46:54	1329-Letter_to_Mr_Minoo_Masani_25-04-1967	summary	ok cred=0.26
2026-08-20T07:46:54	1330-Letter_to_Piloo_H_Mody_26-04-1967	summary	ok cred=0.25
2026-08-20T07:46:54	1339-Letter_to_Mr_Minoo_Masani_03-04-1967	metadata.a	ok cred=0.29
2026-08-20T07:47:01	134-Morarjis_Breakfast_Nations_Last_Supper-March_Of_The_Nation_24-06-1967	metadata.a	ok cred=0.29
