file	archive_id	date	year	date_flag	direction	correspondent_verbatim	thinker_id	resolution	genre	work_type_suggest
1042-Letter_to_Mr_Minoo_Masani_22-01-1963.pdf	1042	1963-01-22	1963		to	Minoo Masani	minoo-masani	resolved	letter	letter
1043-Letter_to_Mr_Minoo_Masani_23-01-1963.pdf	1043	1963-01-23	1963		to	Minoo Masani	minoo-masani	resolved	letter	letter
1044-Telegram_to_Mr_Minoo_Masani_22-01-1963.pdf	1044	1963-01-22	1963		to	Minoo Masani	minoo-masani	resolved	telegram	telegram
1045-Letter_to_Mr_Minoo_Masani_23-01-1963.pdf	1045	1963-01-23	1963		to	Minoo Masani	minoo-masani	resolved	letter	letter
1046-Letter_to_Mr_Minoo_Masani_23-01-1963.pdf	1046	1963-01-23	1963		to	Minoo Masani	minoo-masani	resolved	letter	letter
1047-Letter_to_Raja_23-01-1963.pdf	1047	1963-01-23	1963		to	Raja		unresolved	letter	letter
1048-Letter_to_Raja_19-01-1963.pdf	1048	1963-01-19	1963		to	Raja		unresolved	letter	letter
1049-Letter_to_Mr_Minoo_Masani_24-01-1963.pdf	1049	1963-01-24	1963		to	Minoo Masani	minoo-masani	resolved	letter	letter
105-Election_work_report_by_Shri_H_J_Dhebar_27-02-1971.pdf	105	1971-02-27	1971						report	occasional_paper
1050-Letter_to_Raja_10-02-1963.pdf	1050	1963-02-10	1963		to	Raja		unresolved	letter	letter
1051-Tour_Programme_of_Raja_24-01-1963.pdf	1051	1963-01-24	1963						manifesto	occasional_paper
1052-Telegram_to_NG_Ranga_29-01-1963.pdf	1052	1963-01-29	1963		to	NG Ranga		unresolved	telegram	telegram
1053-JP_Defers_to_Visit_Pakistan_01-02-1963.pdf	1053	1963-02-01	1963							
1054-Letter_to_Mr_Minoo_Masani_04-02-1963.pdf	1054	1963-02-04	1963		to	Minoo Masani	minoo-masani	resolved	letter	letter
1055-Letter_to_Mr_Minoo_Masani_06-02-1963.pdf	1055	1963-02-06	1963		to	Minoo Masani	minoo-masani	resolved	letter	letter
1056-Non_Alignment_Policy.pdf	1056									
1057-Letter_to_Raja_05-02-1963.pdf	1057	1963-02-05	1963		to	Raja		unresolved	letter	letter
1058-Letter_to_Mr_Minoo_Masani_13-02-1963.pdf	1058	1963-02-13	1963		to	Minoo Masani	minoo-masani	resolved	letter	letter
1059-Letter_to_Raja_14-02-1963.pdf	1059	1963-02-14	1963		to	Raja		unresolved	letter	letter
106-Letter_to_Mr_A_Latif_04-03-1971.pdf	106	1971-03-04	1971		to	A Latif		unresolved	letter	letter
1060-Letter_to_Raja_19-02-1963.pdf	1060	1963-02-19	1963		to	Raja		unresolved	letter	letter
1061-Letter_to_B_Shiva_Rao_20-02-1963.pdf	1061	1963-02-20	1963		to	B Shiva Rao	b-shiva-rao	resolved	letter	letter
1062-Letter_to_Mr_Minoo_Masani_20-02-1963.pdf	1062	1963-02-20	1963		to	Minoo Masani	minoo-masani	resolved	letter	letter
1063-Letter_to_Raja_23-02-1963.pdf	1063	1963-02-23	1963		to	Raja		unresolved	letter	letter
1064-Letter_to_Raja_23-02-1963.pdf	1064	1963-02-23	1963		to	Raja		unresolved	letter	letter
1065-Letter_to_Mr_Minoo_Masani_24-02-1963.pdf	1065	1963-02-24	1963		to	Minoo Masani	minoo-masani	resolved	letter	letter
1066-Letter_to_Raja_25-02-1963.pdf	1066	1963-02-25	1963		to	Raja		unresolved	letter	letter
1067-Letter_to_Mr_Minoo_Masani_26-02-1963.pdf	1067	1963-02-26	1963		to	Minoo Masani	minoo-masani	resolved	letter	letter
1068-Letter_to_Mr_Minoo_Masani_27-02-1963.pdf	1068	1963-02-27	1963		to	Minoo Masani	minoo-masani	resolved	letter	letter
1069-Letter_to_Mr_Minoo_Masani_05-03-1963.pdf	1069	1963-03-05	1963		to	Minoo Masani	minoo-masani	resolved	letter	letter
107-Letter_to_Prof_N_G_Ranga_04-03-1971.pdf	107	1971-03-04	1971		to	N G Ranga		unresolved	letter	letter
1070-Letter_About_Budget_Passed.pdf	1070								letter	letter
1071-Letter_to_Mr_Minoo_Masani_05-03-1963.pdf	1071	1963-03-05	1963		to	Minoo Masani	minoo-masani	resolved	letter	letter
1072-Letter_to_Raja_08-03-1963.pdf	1072	1963-03-08	1963		to	Raja		unresolved	letter	letter
1073-Letter_to_Raja_09-03-1963.pdf	1073	1963-03-09	1963		to	Raja		unresolved	letter	letter
1074-Letter_to_Arvind_Mafatlal_15-03-1963.pdf	1074	1963-03-15	1963		to	Arvind Mafatlal		unresolved	letter	letter
1075-Letter_to_Mr_Minoo_Masani_17-03-1963.pdf	1075	1963-03-17	1963		to	Minoo Masani	minoo-masani	resolved	letter	letter
1076-Swatantra_Newsletter_No-75_August-September-1970.pdf	1076	1970-09	1970						letter	letter
1077-Swatantra_Newsletter_No-03_January-1960.pdf	1077	1960-01	1960						letter	letter
1078-Swatantra_Newsletter_No-04_Febuary-1960.pdf	1078	1960-02	1960						letter	letter
1079-Swatantra_Newsletter_No-07_June-1960.pdf	1079	1960-06	1960						letter	letter
108-Letter_to_Mrs_Dabeh_Sawhny_04-03-1971.pdf	108	1971-03-04	1971		to	Dabeh Sawhny		unresolved	letter	letter
1080-Swatantra_Newsletter_No-08_July-1960.pdf	1080	1960-07	1960						letter	letter
1081-Swatantra_Newsletter_No-09_August-1960.pdf	1081	1960-08	1960						letter	letter
1082-Swatantra_Newsletter_No-70_October-December-1970.pdf	1082	1970-12	1970						letter	letter
1083-Swatantra_Newsletter_No-75_August-September-1970.pdf	1083	1970-09	1970						letter	letter
1084-Swatantra_Newsletter_No-74_june-july-1970.pdf	1084	1970-07	1970						letter	letter
1085-Swatantra_Newsletter_No-73_April-May-1970.pdf	1085	1970-05	1970						letter	letter
1086-Swatantra_Newsletter_No-72_February-March-1970.pdf	1086	1970-03	1970						letter	letter
1087-Swatantra_Newsletter_No-71_January-1970.pdf	1087	1970-01	1970						letter	letter
1088-Swatantra_Newsletter_No-70_October-december-1989.pdf	1088	1989-12	1989						letter	letter
1089-Swatantra_Newsletter_No-69_June_September-1969.pdf	1089	1969-09	1969						letter	letter
109-Letter_to_Mr_I_T_Mirchandani_04-03-1971.pdf	109	1971-03-04	1971		to	I T Mirchandani		unresolved	letter	letter
1090-Swatantra_Newsletter_No-68_April_May-1969.pdf	1090	1969-05	1969						letter	letter
1091-Swatantra_Newsletter_No-67_March-1969.pdf	1091	1969-03	1969						letter	letter
1092-Swatantra_Newsletter_No-66_January-February-1969.pdf	1092	1969-02	1969						letter	letter
1093-With_the_Compliments_of_N_Dandeker_23-11-1977.pdf	1093	1977-11-23	1977							
1094-Questionnaire_of_Committee_on_Poll_Express.pdf	1094								press_note	press_note
1095-Swatantra_party_Constitution_14-04-1973.pdf	1095	1973-04-14	1973							
1096-Circulated_for_Electric_Public_Opinion_11-07-1985.pdf	1096	1985-07-11	1985							
1097-City_Civil_Court_Madras.pdf	1097									
1098-Letter_to_KK_Savariya_15-06-1984.pdf	1098	1984-06-15	1984		to	KK Savariya		unresolved	letter	letter
1099-Letter_to_R_Hawkins_05-04-1984.pdf	1099	1984-04-05	1984		to	R Hawkins		unresolved	letter	letter
