file	archive_id	pages	bytes	text_layer	ocr_quality	chars_per_page	word_hit	junk_ratio	dpi	colour	separation	legibility	ink_pct
1039-Letter_to_NG_Ranga_25-01-1963.pdf	1039	2	234604	none	none	0.0	0.0	0.0	128	n	98.1	adequate	6.4
104-Lette_to_Mr_Masani_and_Kalyani_27-02-1971.pdf	104	1	87775	none	none	0.0	0.0	0.0	128	y	97.1	adequate	4.7
1040-Letter_to_Mr_Minoo_Masani_22-01-1963.pdf	1040	1	96354	none	none	0.0	0.0	0.0	128	y	98.3	adequate	9.6
1041-Letter_to_Raja_22-01-1963.pdf	1041	3	377412	none	none	0.0	0.0	0.0	128	y	110.2	adequate	8.1
1042-Letter_to_Mr_Minoo_Masani_22-01-1963.pdf	1042	2	207812	none	none	0.0	0.0	0.0	128	n	105.6	adequate	5.6
1043-Letter_to_Mr_Minoo_Masani_23-01-1963.pdf	1043	1	101689	none	none	0.0	0.0	0.0	128	n	81.5	weak	5.7
1044-Telegram_to_Mr_Minoo_Masani_22-01-1963.pdf	1044	2	242566	none	none	0.0	0.0	0.0	128	y	87.6	weak	10.8
1045-Letter_to_Mr_Minoo_Masani_23-01-1963.pdf	1045	1	106607	none	none	0.0	0.0	0.0	128	n	93.6	adequate	4.0
1046-Letter_to_Mr_Minoo_Masani_23-01-1963.pdf	1046	1	140077	none	none	0.0	0.0	0.0	128	y	91.0	adequate	9.9
1047-Letter_to_Raja_23-01-1963.pdf	1047	3	390532	none	none	0.0	0.0	0.0	128	y	108.7	adequate	9.7
1048-Letter_to_Raja_19-01-1963.pdf	1048	1	145270	none	none	0.0	0.0	0.0	128	y	94.3	adequate	8.9
1049-Letter_to_Mr_Minoo_Masani_24-01-1963.pdf	1049	1	101421	none	none	0.0	0.0	0.0	128	y	106.7	adequate	8.4
105-Election_work_report_by_Shri_H_J_Dhebar_27-02-1971.pdf	105	2	329771	none	none	0.0	0.0	0.0	128	y	76.7	weak	6.3
1050-Letter_to_Raja_10-02-1963.pdf	1050	1	160857	none	none	0.0	0.0	0.0	128	n	48.9	faint	36.8
1051-Tour_Programme_of_Raja_24-01-1963.pdf	1051	1	79889	none	none	0.0	0.0	0.0	128	y	126.4	adequate	3.5
1052-Telegram_to_NG_Ranga_29-01-1963.pdf	1052	1	105024	none	none	0.0	0.0	0.0	128	y	90.2	adequate	7.4
1053-JP_Defers_to_Visit_Pakistan_01-02-1963.pdf	1053	1	111098	none	none	0.0	0.0	0.0	128	y	79.6	weak	4.9
1054-Letter_to_Mr_Minoo_Masani_04-02-1963.pdf	1054	1	128603	none	none	0.0	0.0	0.0	128	y	70.9	weak	30.8
1055-Letter_to_Mr_Minoo_Masani_06-02-1963.pdf	1055	2	238410	none	none	0.0	0.0	0.0	128	y	61.3	weak	30.9
1056-Non_Alignment_Policy.pdf	1056	2	136246	none	none	0.0	0.0	0.0	128	y	112.4	adequate	16.9
1057-Letter_to_Raja_05-02-1963.pdf	1057	1	194674	none	none	0.0	0.0	0.0	128	n	103.0	adequate	9.9
1058-Letter_to_Mr_Minoo_Masani_13-02-1963.pdf	1058	1	185137	none	none	0.0	0.0	0.0	128	n	114.1	adequate	7.3
1059-Letter_to_Raja_14-02-1963.pdf	1059	1	135498	none	none	0.0	0.0	0.0	128	n	84.0	weak	4.3
106-Letter_to_Mr_A_Latif_04-03-1971.pdf	106	1	96950	none	none	0.0	0.0	0.0	128	y	71.7	weak	1.9
1060-Letter_to_Raja_19-02-1963.pdf	1060	1	195114	none	none	0.0	0.0	0.0	128	n	134.9	strong	10.2
1061-Letter_to_B_Shiva_Rao_20-02-1963.pdf	1061	1	92144	none	none	0.0	0.0	0.0	128	y	105.1	adequate	3.9
1062-Letter_to_Mr_Minoo_Masani_20-02-1963.pdf	1062	1	178217	none	none	0.0	0.0	0.0	128	n	125.8	adequate	8.1
1063-Letter_to_Raja_23-02-1963.pdf	1063	1	207626	none	none	0.0	0.0	0.0	128	n	89.9	weak	8.9
1064-Letter_to_Raja_23-02-1963.pdf	1064	1	159839	none	none	0.0	0.0	0.0	128	n	123.3	adequate	7.0
1065-Letter_to_Mr_Minoo_Masani_24-02-1963.pdf	1065	1	141612	none	none	0.0	0.0	0.0	128	y	135.8	strong	11.7
1066-Letter_to_Raja_25-02-1963.pdf	1066	1	229588	none	none	0.0	0.0	0.0	128	n	147.7	strong	8.7
1067-Letter_to_Mr_Minoo_Masani_26-02-1963.pdf	1067	4	570662	none	none	0.0	0.0	0.0	128	y	85.1	weak	5.8
1068-Letter_to_Mr_Minoo_Masani_27-02-1963.pdf	1068	1	118096	none	none	0.0	0.0	0.0	128	y	92.4	adequate	5.7
1069-Letter_to_Mr_Minoo_Masani_05-03-1963.pdf	1069	1	106732	none	none	0.0	0.0	0.0	128	y	107.7	adequate	5.1
107-Letter_to_Prof_N_G_Ranga_04-03-1971.pdf	107	1	113277	none	none	0.0	0.0	0.0	128	y	78.7	weak	2.6
1070-Letter_About_Budget_Passed.pdf	1070	1	98163	none	none	0.0	0.0	0.0	128	y	111.2	adequate	6.2
1071-Letter_to_Mr_Minoo_Masani_05-03-1963.pdf	1071	1	97032	none	none	0.0	0.0	0.0	128	y	95.7	adequate	5.2
1072-Letter_to_Raja_08-03-1963.pdf	1072	2	398555	none	none	0.0	0.0	0.0	128	n	123.7	adequate	7.7
1073-Letter_to_Raja_09-03-1963.pdf	1073	2	308410	none	none	0.0	0.0	0.0	128	n	78.9	weak	7.1
1074-Letter_to_Arvind_Mafatlal_15-03-1963.pdf	1074	1	90564	none	none	0.0	0.0	0.0	128	y	92.6	adequate	4.7
1075-Letter_to_Mr_Minoo_Masani_17-03-1963.pdf	1075	2	276885	none	none	0.0	0.0	0.0	128	n	91.9	adequate	4.5
1076-Swatantra_Newsletter_No-75_August-September-1970.pdf	1076	16	5181485	none	none	0.0	0.0	0.0	128	y	80.0	weak	15.4
1077-Swatantra_Newsletter_No-03_January-1960.pdf	1077	10	2771711	none	none	0.0	0.0	0.0	128	n	87.8	weak	8.8
1078-Swatantra_Newsletter_No-04_Febuary-1960.pdf	1078	8	2211642	none	none	0.0	0.0	0.0	128	n	92.3	adequate	9.4
1079-Swatantra_Newsletter_No-07_June-1960.pdf	1079	12	3238652	none	none	0.0	0.0	0.0	128	n	60.5	weak	12.2
108-Letter_to_Mrs_Dabeh_Sawhny_04-03-1971.pdf	108	1	131861	none	none	0.0	0.0	0.0	128	y	93.7	adequate	5.1
1080-Swatantra_Newsletter_No-08_July-1960.pdf	1080	9	2717548	none	none	0.0	0.0	0.0	128	n	78.4	weak	9.4
1081-Swatantra_Newsletter_No-09_August-1960.pdf	1081	15	4435725	none	none	0.0	0.0	0.0	128	n	73.4	weak	10.2
1082-Swatantra_Newsletter_No-70_October-December-1970.pdf	1082	16	5099954	none	none	0.0	0.0	0.0	128	y	76.0	weak	24.9
1083-Swatantra_Newsletter_No-75_August-September-1970.pdf	1083	16	5405323	none	none	0.0	0.0	0.0	128	y	80.0	weak	14.6
1084-Swatantra_Newsletter_No-74_june-july-1970.pdf	1084	17	5398722	none	none	0.0	0.0	0.0	128	n	80.8	weak	20.8
1085-Swatantra_Newsletter_No-73_April-May-1970.pdf	1085	14	4422988	none	none	0.0	0.0	0.0	128	n	96.0	adequate	13.9
1086-Swatantra_Newsletter_No-72_February-March-1970.pdf	1086	18	5531446	none	none	0.0	0.0	0.0	128	n	92.6	adequate	11.5
1087-Swatantra_Newsletter_No-71_January-1970.pdf	1087	13	3553211	none	none	0.0	0.0	0.0	128	y	77.6	weak	40.6
1088-Swatantra_Newsletter_No-70_October-december-1989.pdf	1088	12	3283784	none	none	0.0	0.0	0.0	134	n	117.6	adequate	8.1
1089-Swatantra_Newsletter_No-69_June_September-1969.pdf	1089	16	4554341	none	none	0.0	0.0	0.0	128	n	90.5	adequate	10.3
109-Letter_to_Mr_I_T_Mirchandani_04-03-1971.pdf	109	1	115916	none	none	0.0	0.0	0.0	128	y	92.3	adequate	2.9
1090-Swatantra_Newsletter_No-68_April_May-1969.pdf	1090	16	5006658	none	none	0.0	0.0	0.0	128	n	97.5	adequate	10.9
1091-Swatantra_Newsletter_No-67_March-1969.pdf	1091	16	4976149	none	none	0.0	0.0	0.0	128	n	93.9	adequate	11.2
1092-Swatantra_Newsletter_No-66_January-February-1969.pdf	1092	12	3483228	none	none	0.0	0.0	0.0	128	n	89.8	weak	11.1
1093-With_the_Compliments_of_N_Dandeker_23-11-1977.pdf	1093	3	236568	none	none	0.0	0.0	0.0	128	y	77.4	weak	35.8
1094-Questionnaire_of_Committee_on_Poll_Express.pdf	1094	1	185752	none	none	0.0	0.0	0.0	128	n	82.4	weak	9.2
1095-Swatantra_party_Constitution_14-04-1973.pdf	1095	12	1883676	none	none	0.0	0.0	0.0	128	y	89.9	weak	10.7
1096-Circulated_for_Electric_Public_Opinion_11-07-1985.pdf	1096	2	609238	none	none	0.0	0.0	0.0	128	n	109.6	adequate	13.1
1097-City_Civil_Court_Madras.pdf	1097	22	3935886	none	none	0.0	0.0	0.0	128	y	95.6	adequate	7.5
1098-Letter_to_KK_Savariya_15-06-1984.pdf	1098	1	95847	none	none	0.0	0.0	0.0	128	n	117.3	adequate	5.3
1099-Letter_to_R_Hawkins_05-04-1984.pdf	1099	5	556069	none	none	0.0	0.0	0.0	128	n	131.0	strong	7.4
11-Letter_To_Mr_Yaskov_Morris_29-03-1971.pdf	11	1	107489	none	none	0.0	0.0	0.0	128	y	90.4	adequate	2.6
110-Letter_to_Tony_03-03-1971.pdf	110	1	132172	none	none	0.0	0.0	0.0	128	y	82.6	weak	5.4
1100-Letter_to_Mr_Roy_02-04-1984.pdf	1100	7	803845	none	none	0.0	0.0	0.0	128	n	136.7	strong	5.8
1101-Letter_to_Mr_Minoo_Masani_23-11-1984.pdf	1101	2	211658	none	none	0.0	0.0	0.0	128	n	51.8	faint	17.4
1102-Letter_to_Mr_Minoo_Masani_16-08-1983.pdf	1102	3	574625	none	none	0.0	0.0	0.0	128	y	89.5	weak	8.9
1103-Letter_to_Mr_Minoo_Masani_07-05-1983.pdf	1103	1	116465	none	none	0.0	0.0	0.0	128	y	92.4	adequate	6.8
1104-Letter_to_Mr_Minoo_Masani_29-09-1981.pdf	1104	3	547918	none	none	0.0	0.0	0.0	128	y	103.0	adequate	7.7
1105-Letter_to_S_Krishnan_23-09-1981.pdf	1105	1	143921	none	none	0.0	0.0	0.0	128	n	116.4	adequate	6.4
1106-Swatantra_party_to_be_Revived_22-09-1981.pdf	1106	1	110413	none	none	0.0	0.0	0.0	128	n	60.3	weak	14.3
1107-Move_to_Revive_Swatantra_Party_22-09-1981.pdf	1107	1	106377	none	none	0.0	0.0	0.0	128	n	72.9	weak	8.0
1108-Letter_to_Tajnarian_yadav_18-09-1981.pdf	1108	1	98177	none	none	0.0	0.0	0.0	128	n	124.5	adequate	5.2
1109-Letter_to_S_Krishnan_14-09-1981.pdf	1109	1	61391	none	none	0.0	0.0	0.0	128	n	141.1	strong	4.5
111-Letter_to_Mr_Jairam_Patel_03-03-1971.pdf	111	1	129018	none	none	0.0	0.0	0.0	128	y	93.9	adequate	6.0
1110-Letter_to_S_Krishnan_10-09-1981.pdf	1110	5	727742	none	none	0.0	0.0	0.0	128	y	106.4	adequate	6.0
1111-Letter_to_S_Sitaraman_02-10-1980.pdf	1111	1	74454	none	none	0.0	0.0	0.0	128	n	111.2	adequate	2.9
