# Thinker dedup analysis input (461 thinkers)
# Format: slug | canonical | refs | bio_source | also_known_as (semicolon-sep)
# Generated by /tmp/build_thinker_list.py

ngapo-ngawang-jigme  |  Ngapo Ngawang Jigme  |  1  |  unknown  |  -
nicholas-kaldor  |  Nicholas Kaldor  |  7  |  unknown  |  Kaldor
nikita-khrushchev  |  Nikita Khrushchev  |  11  |  unknown  |  Khrushchev
om-prakash-kahol  |  Om Prakash Kahol  |  2  |  unknown  |  -
otto-lambsdorff  |  Otto Graf Lambsdorff  |  0  |  ai_drafted_stub  |  -
p-c-mahalanobis  |  P. C. Mahalanobis  |  8  |  unknown  |  PC Mahalanobis; P C Mahalanobis; Prof. Mahalanobis; Mahalanobis
p-kodanda-rao  |  P Kodanda Rao  |  1  |  unknown  |  -
p-n-haksar  |  P. N. Haksar  |  4  |  unknown  |  PN Haksar; P N Haksar
p-v-shenoi  |  Dr. P. V. Shenoi  |  2  |  ai_drafted_stub  |  -
p-v-sukhatme  |  P. V. Sukhatme  |  0  |  unknown  |  Professor P. V. Sukhatme
pandita-ramabai  |  Pandita Ramabai  |  9  |  unknown  |  Ramabai; पंडिता रमाबाई
parichand-mitra  |  Peary Chand Mitra  |  1  |  unknown  |  Parichand Mitra; প্যারীচাঁদ মিত্র
parth-shah  |  Parth J. Shah  |  6  |  unknown  |  Parth J Shah; Parth Shah; Dr. Parth J. Shah; डॉ. पार्थ जे. शाह
periyar-e-v-ramasamy  |  Periyar E. V. Ramasamy  |  4  |  unknown  |  Periyar Ramaswami Naicker; Periyar; E. V. Ramaswamy
peter-bauer  |  Peter Bauer  |  10  |  unknown  |  -
pherozeshah-mehta  |  Pherozeshah Mehta  |  12  |  ai_drafted_stub  |  -
phiroze-b-medhora  |  Dr. Phiroze B. Medhora  |  1  |  ai_drafted_stub  |  -
phiroze-j-shroff  |  Phiroze J Shroff  |  4  |  unknown  |  -
piloo-mody  |  Piloo Mody  |  7  |  ai_drafted_stub  |  -
piya-mahatey  |  Piya Mahatey  |  0  |  unknown  |  -
prof-cn-vakil  |  Prof CN Vakil  |  2  |  unknown  |  -
prof-rl-varshney  |  Prof. RL Varshney  |  0  |  unknown  |  -
prof-shenoy  |  Prof Shenoy  |  0  |  unknown  |  -
r-a-jahagirdar  |  R. A. Jahagirdar  |  0  |  unknown  |  Justice R. A. Jahagirdar (retd.); Justice Jahagirdar
r-c-cooper  |  Dr. R. C. Cooper  |  4  |  ai_drafted_stub  |  -
r-g-katoti  |  R. G. Katoti  |  2  |  unknown  |  Mr. R. G. Katoti
r-j-taraporevala  |  Prof. R. J. Taraporevala  |  0  |  ai_drafted_stub  |  -
r-k-amin  |  R. K. Amin  |  2  |  unknown  |  Prof RK Amin; R K Amin; RK Amin
r-k-hazari  |  R. K. Hazari  |  1  |  unknown  |  -
r-k-talwar  |  R. K. Talwar  |  5  |  ai_drafted_stub  |  -
r-m-mohan-rao  |  R. M. Mohan Rao  |  4  |  unknown  |  RM Mohan Rao; R.M. Mohan Rao
r-n-jha  |  R. N. Jha  |  1  |  ai_drafted_stub  |  -
rabindranath-tagore  |  Rabindranath Tagore  |  10  |  unknown  |  Tagore; রবীন্দ্রনাথ ঠাকুর; रवीन्द्रनाथ टैगोर
radhakanta-deb  |  Radhakanta Deb  |  1  |  unknown  |  Radhakanta Dev; Raja Radhakanta Deb; রাধাকান্ত দেব
raghunath-karve  |  Raghunath Karve  |  1  |  ai_drafted_stub  |  -
raja-ram-mohan-roy  |  Raja Ram Mohan Roy  |  22  |  unknown  |  Ram Mohan Roy; Rammohun Roy
rajaji  |  Rajaji  |  18  |  unknown  |  -
rajendra-prasad  |  Rajendra Prasad  |  4  |  unknown  |  Dr. Rajendra Prasad
rajesh-mishra  |  Rajesh Mishra  |  6  |  unknown  |  રાજેશ મિશ્રા
rajiv-gandhi  |  Rajiv Gandhi  |  7  |  unknown  |  राजीव गांधी; রাজীব গান্ধী
rajkumari-amrit-kaur  |  Rajkumari Amrit Kaur  |  1  |  ai_drafted_stub  |  -
rakesh-mohan  |  Dr. Rakesh Mohan  |  4  |  ai_drafted_stub  |  -
ralph-borsodi  |  Ralph Borsodi  |  0  |  unknown  |  -
ralph-waldo-emerson  |  Ralph Waldo Emerson  |  5  |  unknown  |  -
ram-jethmalani  |  Ram Jethmalani  |  2  |  unknown  |  Jethmalani
ram-manohar-lohia  |  Ram Manohar Lohia  |  1  |  unknown  |  Lohia; Dr. Ram Manohar Lohia; राम मनोहर लोहिया
ramabai-ranade  |  Ramabai Ranade  |  6  |  ai_drafted_stub  |  -
ramadevi-chowdhury  |  Ramadevi Chowdhury  |  1  |  ai_drafted_stub  |  -
ramdas-rear-admiral  |  L. Ramdas  |  0  |  unknown  |  Admiral Ramdas (retd.); Admiral L. Ramdas; Ramdas
ramniwas-ruia  |  Shri Ramniwas R. Ruia  |  1  |  ai_drafted_stub  |  -
ramtanu-lahiri  |  Ramtanu Lahiri  |  0  |  unknown  |  রামতনু লাহিড়ী
rani-rashmoni  |  Rani Rashmoni  |  2  |  ai_drafted_stub  |  -
rasikkrishna-mallik  |  Rasikkrishna Mallik  |  1  |  unknown  |  Rasik Krishna Mallick; রসিককৃষ্ণ মল্লিক
rd-aga  |  RD Aga  |  0  |  unknown  |  -
rene-klaff  |  René Klaff  |  0  |  unknown  |  Dr. René Klaff
richard-plaster  |  Richard Plaster  |  0  |  unknown  |  -
robert-mcnamara  |  Robert McNamara  |  1  |  unknown  |  -
ronald-meinardus  |  Ronald Meinardus  |  1  |  ai_drafted_stub  |  -
rukhmabai  |  Rukhmabai Raut  |  3  |  ai_drafted_stub  |  -
russi-mody  |  Russi Mody  |  3  |  unknown  |  -
ruth-benedict  |  Ruth Benedict  |  0  |  unknown  |  -
s-chandrasekhar  |  S. Chandrasekhar  |  2  |  unknown  |  Sripati Chandrasekhar
s-divakara  |  S. Divakara  |  2  |  ai_drafted_stub  |  -
s-k-patil  |  S. K. Patil  |  3  |  unknown  |  -
s-l-n-sinha  |  S. L. N. Sinha  |  0  |  ai_drafted_stub  |  -
s-m-dahanukar  |  S. M. Dahanukar  |  2  |  ai_drafted_stub  |  -
s-p-sathe  |  S. P. Sathe  |  4  |  unknown  |  SP Sathe; S.P. Sathe; Sathe
s-r-k-rao  |  Dr. S. R. K. Rao  |  6  |  ai_drafted_stub  |  -
s-s-kanoria  |  S. S. Kanoria  |  1  |  ai_drafted_stub  |  -
s-s-tarapore  |  S. S. Tarapore  |  9  |  ai_drafted_stub  |  -
s-v-raju  |  S. V. Raju  |  26  |  unknown  |  SV Raju; S.V. Raju; एस. वी. राजू
sachin-sen  |  Sachin Sen  |  1  |  unknown  |  DR Sachin Sen
sadanand-varde  |  Sadanand Varde  |  3  |  unknown  |  -
salvador-de-madariaga  |  Salvador de Madariaga  |  4  |  unknown  |  Salvador Madariaga; Madariaga
samdhong-rinpoche  |  Samdhong Rinpoche  |  2  |  unknown  |  Prof. Samdhong Rinpoche
samiran-nundy  |  Dr. Samiran Nundy  |  2  |  ai_drafted_stub  |  -
sanjay-panse  |  Sanjay Panse  |  3  |  unknown  |  Mr. Sanjay Panse; Mr.Sanjay Panse
sardar-patel  |  Vallabhbhai Patel  |  13  |  unknown  |  Sardar Patel; Patel; सरदार पटेल; वल्लभभाई पटेल; सरदार वल्लभभाई पटेल
sarojini-naidu  |  Sarojini Naidu  |  3  |  unknown  |  Sarojini Devi; धीमती सरोजिनी नायडू; सरोजिनी नायडू
sarvepalli-radhakrishnan  |  Sarvepalli Radhakrishnan  |  4  |  unknown  |  S. Radhakrishnan; Professor S. Radhakrishnan; Dr. Radhakrishnan
sauvik-chakraverti  |  Sauvik Chakraverti  |  5  |  unknown  |  सौविक चक्रवर्ती
sh-batlivala  |  SH Batlivala  |  2  |  unknown  |  -
shah-mulraj-simha  |  Shah Mulraj Simha  |  0  |  unknown  |  -
shailesh-gandhi  |  Shailesh Gandhi  |  1  |  ai_drafted_stub  |  -
sharad-bailur  |  Sharad Bailur  |  0  |  unknown  |  -
sharad-joshi  |  Sharad Joshi  |  24  |  unknown  |  Sharad Anantrao Joshi; शरद जोशी
sharad-pawar  |  Sharad Pawar  |  3  |  unknown  |  शरद पवार
shareefa-hamid-ali  |  Shareefa Hamid Ali  |  2  |  ai_drafted_stub  |  -
shivaji  |  Chhatrapati Shivaji  |  3  |  unknown  |  Shivaji; शिवाजी; छत्रपती शिवाजी; छत्रपती शिवाजी महाराज
shivani-a-tannu  |  Shivani A. Tannu  |  2  |  ai_drafted_stub  |  -
shrikant-umrikar  |  Shrikant Umrikar  |  1  |  unknown  |  श्रीकांत उमरीकर; श्रीकांत अनंत उमरीकर; Shreekant Umarkar
shyamala-gopinath  |  Shyamala Gopinath  |  3  |  ai_drafted_stub  |  -
siegfried-herzog  |  Siegfried Herzog  |  0  |  unknown  |  -
sirimavo-bandaranaike  |  Sirimavo Bandaranaike  |  0  |  unknown  |  Mrs. Sirimavo Bandaranaike; Mrs Srimavo Bandaranaike; Srimavo Bandaranaike
sivanath-sastri  |  Sivanath Sastri  |  1  |  unknown  |  Shivnath Shastri; শিবনাথ শাস্ত্রী
sn-haji  |  SN Haji  |  2  |  unknown  |  -
sp-godrej  |  SP Godrej  |  0  |  unknown  |  -
ss-bhandare  |  SS Bhandare  |  2  |  unknown  |  -
ss-bhandare-and-jk-mukhopadhyay  |  SS Bhandare And JK Mukhopadhyay  |  0  |  unknown  |  -
subhas-chandra-bose  |  Subhas Chandra Bose  |  0  |  unknown  |  Netaji; Subhash Chandra Bose; সুভাষ চন্দ্র বসু; সুভাষচন্দ্র বসু; সুভাষ বসু; সুভাষচন্দ্র; নেতাজি; सुभाष चंद्र बोस; नेताजी
sucheta-dalal  |  Sucheta Dalal  |  3  |  ai_drafted_stub  |  -
sudha-r-shenoy  |  Sudha R. Shenoy  |  3  |  unknown  |  -
sujata-manohar  |  Sujata Manohar  |  0  |  unknown  |  -
sumati-morarjee  |  Sumati Morarjee  |  0  |  unknown  |  -
sunil-bhandare  |  Sunil S. Bhandare  |  39  |  unknown  |  Mr. Sunil S. Bhandare; Sunil Bhandare
suresh-parikh  |  Suresh Parikh  |  2  |  unknown  |  સુરેશ પરીખ
swami-anand  |  Swami Anand  |  1  |  unknown  |  સ્વામી આનંદ
t-mathew  |  T. Mathew  |  1  |  ai_drafted_stub  |  -
t-subbaya-shetty  |  T. Subbaya Shetty  |  0  |  unknown  |  -
t-t-krishnamachari  |  T. T. Krishnamachari  |  38  |  unknown  |  TTK; टी. टी. कृष्णमाचारी; कृष्णमाचारी
tahir-siddiqui  |  Tahir Siddiqui  |  0  |  unknown  |  -
tanguturi-prakasam  |  Tanguturi Prakasam Panthulu  |  1  |  ai_drafted_stub  |  -
tarabai-shinde  |  Tarabai Shinde  |  2  |  ai_drafted_stub  |  -
tarachand-chakrabarty  |  Tarachand Chakrabarty  |  1  |  unknown  |  Tarachand Chakraborty; তারাচাঁদ চক্রবর্তী
tarun-das  |  Tarun Das  |  2  |  ai_drafted_stub  |  -
thakorelal-desai  |  Thakorelal Desai  |  0  |  unknown  |  -
theodor-heuss  |  Theodor Heuss  |  0  |  unknown  |  -
thomas-aquinas  |  Thomas Aquinas  |  0  |  unknown  |  St Thomas Aquinas; St. Thomas Aquinas
thomas-babington-macaulay  |  Thomas Babington Macaulay  |  4  |  unknown  |  Macaulay; Lord Macaulay; T. B. Macaulay
thomas-robert-malthus  |  Thomas Robert Malthus  |  2  |  unknown  |  Malthus; T. R. Malthus; Rev. Malthus; माल्थस
tom-g-palmer  |  Tom G. Palmer  |  0  |  unknown  |  -
trupti-parekh  |  Trupti Parekh  |  9  |  unknown  |  તૃપ્તિ પારેખ; તૃષિ પારેખ
u-r-rao  |  Prof. U. R. Rao  |  1  |  ai_drafted_stub  |  -
uday-kotak  |  Uday Kotak  |  1  |  ai_drafted_stub  |  -
usha-mehta  |  Usha Mehta  |  2  |  unknown  |  Dr. Usha Mehta
utsavananda-vidyabagish  |  Utsavananda Vidyabagish  |  0  |  unknown  |  -
v-b-haribhakti  |  V. B. Haribhakti  |  2  |  ai_drafted_stub  |  -
v-k-krishna-menon  |  V. K. Krishna Menon  |  8  |  unknown  |  Krishna Menon; VK Krishna Menon; V.K. Krishna Menon; वी. के. कृष्ण मेनन; कृष्ण मेनन
v-k-r-v-rao  |  V. K. R. V. Rao  |  1  |  unknown  |  VKRV Rao; के॰ के॰ आर॰ वी॰ राव
v-m-tarkunde  |  V. M. Tarkunde  |  4  |  ai_drafted_stub  |  -
v-p-menon  |  V. P. Menon  |  4  |  ai_drafted_stub  |  -
v-p-sinha  |  V. P. Sinha  |  1  |  unknown  |  वी. पी. सिन्हा
v-s-srinivasa-sastri  |  V. S. Srinivasa Sastri  |  4  |  ai_drafted_stub  |  -
v-t-krishnamachari  |  V. T. Krishnamachari  |  1  |  unknown  |  VT Krishnamachari; V T Krishnamachari; श्री वी. टी. कृष्णमाचारी
v-v-john  |  V. V. John  |  1  |  ai_drafted_stub  |  -
v-vijayatunga  |  V. Vijayatunga  |  2  |  unknown  |  J. Vijayatunga
vh-pandya  |  VH Pandya  |  0  |  unknown  |  -
vijay-jawandhia  |  Vijay Jawandhia  |  1  |  unknown  |  विजय जावंधिया
vijay-kelkar  |  Vijay Kelkar  |  2  |  unknown  |  Dr. Vijay Kelkar; Vijay L. Kelkar
vijay-mahajan-aviation  |  Wing Commander Vijay Mahajan  |  2  |  ai_drafted_stub  |  -
vijaya-lakshmi-pandit  |  Vijaya Lakshmi Pandit  |  0  |  unknown  |  Mrs. Vijayalaxmi Pandit; Vijayalaxmi Pandit
vinoba-bhave  |  Vinoba Bhave  |  24  |  unknown  |  Acharya Vinoba Bhave; Vinoba; विनोबा भावे
voltaire  |  Voltaire  |  7  |  ai_drafted_stub  |  -
w-h-hutt  |  W. H. Hutt  |  5  |  ai_drafted_stub  |  -
warren-hastings  |  Warren Hastings  |  2  |  unknown  |  -
wilhelm-ropke  |  Wilhelm Röpke  |  2  |  unknown  |  Wilhelm Ropke; Roepke
william-adam  |  William Adam  |  1  |  unknown  |  -
william-bentinck  |  Lord William Bentinck  |  1  |  unknown  |  William Bentinck; Bentinck
willy-brandt  |  Willy Brandt  |  1  |  unknown  |  -
winston-churchill  |  Winston Churchill  |  4  |  unknown  |  -
ww-rowstow  |  WW Rowstow  |  2  |  unknown  |  -
y-k-hamied  |  Dr. Y. K. Hamied  |  1  |  ai_drafted_stub  |  -
y-v-reddy  |  Dr. Y. V. Reddy  |  12  |  ai_drafted_stub  |  -
yashawant-bhide  |  Yashawant Bhide  |  0  |  unknown  |  Prof. Yashawant Bhide
yashodabai-agarkar  |  Yashodabai Agarkar  |  1  |  ai_drafted_stub  |  -
zafar-futehally  |  Zafar Futehally  |  1  |  ai_drafted_stub  |  -
zhou-enlai  |  Zhou Enlai  |  0  |  unknown  |  Chou En-lai
