# Thinker dedup analysis input (461 thinkers)
# Format: slug | canonical | refs | bio_source | also_known_as (semicolon-sep)
# Generated by /tmp/build_thinker_list.py

c-rajagopalachari  |  C. Rajagopalachari  |  57  |  unknown  |  Rajaji; C.R.; सी. राजगोपालाचारी; राजाजी
c-rangarajan  |  C. Rangarajan  |  7  |  unknown  |  Dr. C. Rangarajan
c-s-deshpande  |  C. S. Deshpande  |  4  |  unknown  |  Dr. C. S. Deshpande; Dr.C.S.Deshpande
c-s-seshadri  |  C. S. Seshadri  |  1  |  ai_drafted_stub  |  -
c-s-venkatachar  |  C. S. Venkatachar  |  1  |  ai_drafted_stub  |  -
c-y-chintamani  |  C. Y. Chintamani  |  4  |  ai_drafted_stub  |  -
carlos-romulo  |  Carlos P. Romulo  |  5  |  unknown  |  Carlos Romulo
chanaka-amaratunga  |  Chanaka Amaratunga  |  2  |  unknown  |  Dr. Chanaka Amaratunga
charan-singh  |  Charan Singh  |  6  |  unknown  |  Chaudhary Charan Singh; के. चरणसिंह; चौधरी चरण सिंह; चरण सिंह; के. चरण सिंह
chintaman-deshmukh  |  C. D. Deshmukh  |  11  |  unknown  |  CD Deshmukh; C. C. Deshmukh; Chintaman Deshmukh
christopher-lingle  |  Christopher Lingle  |  0  |  unknown  |  -
claret-dsouza  |  Claret D'Souza  |  0  |  unknown  |  -
colin-clark  |  Colin Clark  |  2  |  unknown  |  Professor Colin Clark
d-k-srivastava  |  D. K. Srivastava  |  0  |  unknown  |  Dr. D.K. Srivastava
d-m-kulkarni-libertarian  |  D. M. Kulkarni (Indian Libertarian)  |  1  |  unknown  |  -
d-n-sinha  |  Justice D. N. Sinha  |  1  |  ai_drafted_stub  |  -
d-r-mankekar  |  Dr. D. R. Mankekar  |  0  |  ai_drafted_stub  |  -
d-r-pendse  |  D. R. Pendse  |  14  |  unknown  |  DR Pendse; D.R. Pendse; डी. आर. पेंडसे
d-subbarao  |  Dr. D. Subbarao  |  1  |  ai_drafted_stub  |  -
d-v-gundappa  |  D. V. Gundappa  |  0  |  unknown  |  DVG; D.V.Gundappa
d-veerendra-heggade  |  D. Veerendra Heggade  |  1  |  ai_drafted_stub  |  -
dadabhai-naoroji  |  Dadabhai Naoroji  |  30  |  ai_drafted_stub  |  -
dankesh-oza  |  Dankesh Oza  |  2  |  unknown  |  ડંકેશ ઓઝા
david-hare  |  David Hare  |  1  |  unknown  |  -
deepak-parekh  |  Deepak Parekh  |  4  |  unknown  |  -
deng-xiaoping  |  Deng Xiaoping  |  6  |  unknown  |  -
detmar-doering  |  Detmar Doering  |  2  |  unknown  |  Dr. Detmar Doering
dharamsey-khatau  |  Dharamsey Khatau  |  0  |  unknown  |  -
dinesh-vyas  |  Dinesh Vyas  |  1  |  ai_drafted_stub  |  -
dm-kulkarni  |  DM Kulkarni  |  0  |  unknown  |  -
dn-hosali  |  DN Hosali  |  0  |  unknown  |  -
dr-ac-shah  |  DR AC Shah  |  0  |  unknown  |  -
dr-dharmendra-bhandari  |  DR Dharmendra Bhandari  |  1  |  unknown  |  -
dr-gvk-rao  |  DR Gvk Rao  |  0  |  unknown  |  -
dr-ig-patel  |  DR IG Patel  |  0  |  unknown  |  -
dr-kk-das  |  Dr. KK Das  |  0  |  unknown  |  -
dr-na-swaminathan  |  DR NA Swaminathan  |  0  |  unknown  |  -
dr-pendse  |  DR Pendse  |  2  |  unknown  |  -
dr-png-subramanian  |  DR Png Subramanian  |  0  |  unknown  |  -
dr-skumar-jain  |  DR Skumar Jain  |  0  |  unknown  |  -
dr-th-chowdhary  |  DR TH Chowdhary  |  0  |  unknown  |  -
dudley-senanayake  |  Dudley Senanayake  |  3  |  unknown  |  -
dwarkanath-tagore  |  Dwarkanath Tagore  |  3  |  unknown  |  দ্বারকানাথ ঠাকুর
e-dsouza  |  Eric D'Souza  |  0  |  unknown  |  Maj.Gen. (retd.) E. D'souza; Maj. Gen. E. D'Souza
erhard-haubold  |  Erhard Haubold  |  2  |  unknown  |  -
eric-p-w-da-costa  |  Eric P. W. da Costa  |  1  |  ai_drafted_stub  |  -
eugene-black  |  Eugene R. Black Sr.  |  53  |  unknown  |  Eugene Black
f-a-mehta  |  F. A. Mehta  |  4  |  ai_drafted_stub  |  -
f-p-antia  |  F. P. Antia  |  1  |  ai_drafted_stub  |  -
fatima-sheikh  |  Fatima Sheikh  |  2  |  ai_drafted_stub  |  -
fazal-ur-rahman  |  Fazal-ur-Rahman  |  0  |  unknown  |  -
feroz-khan-noon  |  Feroz Khan Noon  |  0  |  unknown  |  -
frank-simoes  |  Frank Simoes  |  0  |  unknown  |  -
franz-oppenheimer  |  Franz Oppenheimer  |  0  |  unknown  |  -
frederic-bastiat  |  Frédéric Bastiat  |  4  |  unknown  |  Frederic Bastiat
friedrich-hayek  |  Friedrich Hayek  |  28  |  unknown  |  -
friedrich-naumann  |  Friedrich Naumann  |  0  |  unknown  |  -
g-b-nagporewalla  |  G. B. Nagporewalla  |  0  |  unknown  |  Dr. G. B. Nagporewalla
g-carl-weiland  |  Prof. G. Carl Weiland  |  0  |  ai_drafted_stub  |  -
g-giridhar-prabhu  |  G. Giridhar Prabhu  |  4  |  unknown  |  Giridhar Prabhu; G Giridhar Prabhu
g-jayachandran  |  G Jayachandran  |  0  |  unknown  |  -
g-n-lawande  |  G N Lawande  |  4  |  unknown  |  -
g-v-kapadia  |  G. V. Kapadia  |  2  |  ai_drafted_stub  |  -
gamal-abdel-nasser  |  Gamal Abdel Nasser  |  0  |  unknown  |  Colonel Nasser; Nasser
gd-parikh  |  GD Parikh  |  0  |  unknown  |  -
geeta-lal  |  Geeta Lal  |  1  |  unknown  |  -
gopal-ganesh-agarkar  |  Gopal Ganesh Agarkar  |  13  |  ai_drafted_stub  |  -
gopal-krishna-gokhale  |  Gopal Krishna Gokhale  |  40  |  unknown  |  Gokhale
gp-manish  |  GP Manish  |  1  |  ai_drafted_stub  |  -
gr-parrikar-and-rg-katoti  |  GR Parrikar And RG Katoti  |  0  |  unknown  |  -
gurajada-apparao  |  Gurajada Apparao  |  1  |  ai_drafted_stub  |  -
gurcharan-das  |  Gurcharan Das  |  4  |  ai_drafted_stub  |  -
gv-ramakrishna  |  GV Ramakrishna  |  0  |  unknown  |  -
h-m-patel  |  H. M. Patel  |  1  |  unknown  |  HM Patel
h-narayan-rao  |  H. Narayan Rao  |  0  |  unknown  |  -
h-t-parekh  |  H. T. Parekh  |  7  |  unknown  |  Mr. H. T. PAREKH; HT Parekh
h-v-r-iengar  |  H. V. R. Iengar  |  5  |  ai_drafted_stub  |  -
hamid-dalwai  |  Hamid Dalwai  |  2  |  ai_drafted_stub  |  -
hannan-ezekiel  |  Dr. Hannan Ezekiel  |  2  |  ai_drafted_stub  |  -
hans-raj-khanna  |  Hans Raj Khanna  |  6  |  unknown  |  -
harish-budhlani  |  Harish Budhlani  |  1  |  ai_drafted_stub  |  -
harish-chandra-mukherjee  |  Harish Chandra Mukherjee  |  2  |  ai_drafted_stub  |  -
henry-louis-vivian-derozio  |  Henry Louis Vivian Derozio  |  3  |  unknown  |  Derozio; H. L. V. Derozio
herbert-spencer  |  Herbert Spencer  |  2  |  unknown  |  -
hernando-de-soto  |  Hernando de Soto  |  4  |  unknown  |  de Soto
himanshi-shelat  |  Himanshi Shelat  |  2  |  unknown  |  હિમાંશી શેલત
hindol-sengupta  |  Hindol Sengupta  |  2  |  ai_drafted_stub  |  -
hla-hart  |  H. L. A. Hart  |  2  |  unknown  |  HLA Hart; H.L.A. Hart
homi-mody  |  Sir Homi Mody  |  9  |  ai_drafted_stub  |  -
hp-ranina  |  HP Ranina  |  7  |  unknown  |  -
hriday-nath-kunzru  |  Hriday Nath Kunzru  |  4  |  ai_drafted_stub  |  -
hubertus-von-welck  |  Hubertus von Welck  |  2  |  unknown  |  -
humayun-kabir  |  Humayun Kabir  |  0  |  unknown  |  -
i-k-gujral  |  I. K. Gujral  |  4  |  unknown  |  Inder Gujral; Inder Kumar Gujral; IK Gujral
ila-bhatt  |  Ela Bhatt  |  2  |  unknown  |  Ela R. Bhatt; Ila R. Bhatt; Ila Bhatt; ઇલા ર. ભટ્ટ; ઈલા ર. ભટ્ટ
immanuel-kant  |  Immanuel Kant  |  0  |  unknown  |  -
indira-gandhi  |  Indira Gandhi  |  50  |  unknown  |  Indira; इंदिरा गांधी; इन्दिरा गाँधी
indira-rajaraman  |  Indira Rajaraman  |  2  |  unknown  |  Dr. Indira Rajaraman
indumati-parikh  |  Indumati Parikh  |  2  |  unknown  |  -
iqbalunnisa-hussain  |  Iqbalunnisa Hussain  |  2  |  ai_drafted_stub  |  -
ishwar-chandra-vidyasagar  |  Ishwar Chandra Vidyasagar  |  14  |  unknown  |  Vidyasagar; Ishwarchandra Vidyasagar; ঈশ্বরচন্দ্র বিদ্যাসাগর; ईश्वरचन्द्र विद्यासागर
iskander-mirza  |  Iskander Mirza  |  0  |  unknown  |  -
ismail-gandhi  |  Ismail Gandhi  |  2  |  unknown  |  ઈસ્માઈલ ગાંધી
j-b-kripalani  |  Acharya J. B. Kripalani  |  0  |  unknown  |  Acharya Kripalani; Kripalani; J. B. Kripalani
j-d-chokshi  |  J. D. Chokshi  |  0  |  ai_drafted_stub  |  -
j-h-doshi  |  J. H. Doshi  |  7  |  ai_drafted_stub  |  -
j-k-dhairyawan  |  J. K. Dhairyawan  |  2  |  unknown  |  -
j-m-lobo-prabhu  |  J. M. Lobo Prabhu  |  3  |  unknown  |  J. M. Lobo Prabhu I.C.S. (Retd.); Lobo Prabhu
