md_slug	confidence	prod_slug	pdf_url	md_title	prod_title	notes
bharta-sathi-by-sharad-joshi	exact	bharta-sathi-by-sharad-joshi	https://indianliberals.in/marathi/bharta-sathi-sharad-joshi.pdf	Bharta Sathi by Sharad Joshi	Bharta Sathi by Sharad Joshi	rescued via prod content-page scrape (was originally page-only)
poshidhanchi-loksahi-by-sharad-joshi	exact	poshidhanchi-loksahi-by-sharad-joshi	https://indianliberals.in/marathi/poshidhanchi-loksahi-sharad-joshi.pdf	'Poshidhanchi Loksahi' by Sharad Joshi	Poshidhanchi Loksahi by Sharad Joshi	rescued via prod content-page scrape
khoj-july-august-2009	exact	khoj-july-august-2009	https://indianliberals.in/gujarati/khoj-july-august-2009.pdf	Khoj : July - August, 2009	Khoj July August 2009	rescued via prod content-page scrape
